iter	Logloss
0	0.65566176
1	0.6261648761
2	0.5986393911
3	0.5750822878
4	0.5553778917
5	0.5372475264
6	0.5219891942
7	0.506955084
8	0.494831702
9	0.483701329
10	0.4737155937
11	0.4656469836
12	0.4591659272
13	0.4523205786
14	0.4459927039
15	0.4414544934
16	0.4363272204
17	0.4328780488
18	0.4308894723
19	0.4268569489
20	0.4229020444
21	0.4219855577
22	0.4177829948
23	0.4146144661
24	0.411785377
25	0.4103140917
26	0.4085178489
27	0.4066338453
28	0.4054361675
29	0.4041441044
30	0.4015084455
31	0.4000952258
32	0.3975480131
33	0.3961461233
34	0.3946373762
35	0.3934666068
36	0.3929525136
37	0.3923823191
38	0.3911383166
39	0.3909618812
40	0.3903792147
41	0.3897889189
42	0.3887048596
43	0.3870132355
44	0.3860298659
45	0.3858336945
46	0.3840234722
47	0.3828982964
48	0.3827031073
49	0.3818097143
